IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,LSO,Lesotho,Year,2021,true,Sex,Male,SEX_MLE,,,,,,,,,,48.73,,,47.8,,49.7,48.7 [47.8-49.7],,,EN,2024-08-02T04:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,CAF,Central African Republic,Year,2021,true,Sex,Male,SEX_MLE,,,,,,,,,,49.57,,,48.45,,50.92,49.6 [48.5-50.9],,,EN,2024-08-02T04:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,LSO,Lesotho,Year,2021,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,51.48,,,50.49,,52.57,51.5 [50.5-52.6],,,EN,2024-08-02T04:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,SWZ,Eswatini,Year,2021,true,Sex,Male,SEX_MLE,,,,,,,,,,51.64,,,50.73,,52.82,51.6 [50.7-52.8],,,EN,2024-08-02T04:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,EMR,Eastern Mediterranean,Country,SOM,Somalia,Year,2021,true,Sex,Male,SEX_MLE,,,,,,,,,,51.75,,,50.62,,53.1,51.7 [50.6-53.1],,,EN,2024-08-02T04:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,CAF,Central African Republic,Year,2021,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,52.31,,,51.06,,53.36,52.3 [51.1-53.4],,,EN,2024-08-02T04:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,EMR,Eastern Mediterranean,Country,SOM,Somalia,Year,2021,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,53.95,,,52.92,,55.11,54.0 [52.9-55.1],,,EN,2024-08-02T04:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,LSO,Lesotho,Year,2021,true,Sex,Female,SEX_FMLE,,,,,,,,,,54.6,,,53.25,,55.99,54.6 [53.3-56.0],,,EN,2024-08-02T04:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,SWZ,Eswatini,Year,2021,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,54.59,,,53.49,,55.87,54.6 [53.5-55.9],,,EN,2024-08-02T04:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,MOZ,Mozambique,Year,2021,true,Sex,Male,SEX_MLE,,,,,,,,,,54.8,,,53.76,,55.83,54.8 [53.8-55.8],,,EN,2024-08-02T04:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,CAF,Central African Republic,Year,2021,true,Sex,Female,SEX_FMLE,,,,,,,,,,55.38,,,54.11,,56.58,55.4 [54.1-56.6],,,EN,2024-08-02T04:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,GNB,Guinea-Bissau,Year,2021,true,Sex,Male,SEX_MLE,,,,,,,,,,56.08,,,55.02,,57.18,56.1 [55.0-57.2],,,EN,2024-08-02T04:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,ZWE,Zimbabwe,Year,2021,true,Sex,Male,SEX_MLE,,,,,,,,,,56.19,,,55.31,,57.02,56.2 [55.3-57.0],,,EN,2024-08-02T04:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,EMR,Eastern Mediterranean,Country,SOM,Somalia,Year,2021,true,Sex,Female,SEX_FMLE,,,,,,,,,,56.33,,,55.27,,57.47,56.3 [55.3-57.5],,,EN,2024-08-02T04:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,SSD,South Sudan,Year,2021,true,Sex,Male,SEX_MLE,,,,,,,,,,56.48,,,54.91,,57.96,56.5 [54.9-58.0],,,EN,2024-08-02T04:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,NAM,Namibia,Year,2021,true,Sex,Male,SEX_MLE,,,,,,,,,,57.27,,,56.5,,58.22,57.3 [56.5-58.2],,,EN,2024-08-02T04:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,EMR,Eastern Mediterranean,Country,AFG,Afghanistan,Year,2021,true,Sex,Male,SEX_MLE,,,,,,,,,,57.4,,,56.63,,58.2,57.4 [56.6-58.2],,,EN,2024-08-02T04:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,TCD,Chad,Year,2021,true,Sex,Male,SEX_MLE,,,,,,,,,,57.53,,,56.27,,58.92,57.5 [56.3-58.9],,,EN,2024-08-02T04:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,MOZ,Mozambique,Year,2021,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,57.66,,,56.64,,58.77,57.7 [56.6-58.8],,,EN,2024-08-02T04:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,WPR,Western Pacific,Country,KIR,Kiribati,Year,2021,true,Sex,Male,SEX_MLE,,,,,,,,,,57.78,,,56.83,,58.85,57.8 [56.8-58.9],,,EN,2024-08-02T04:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,SWZ,Eswatini,Year,2021,true,Sex,Female,SEX_FMLE,,,,,,,,,,57.87,,,56.35,,59.66,57.9 [56.3-59.7],,,EN,2024-08-02T04:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,ZWE,Zimbabwe,Year,2021,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,58.48,,,57.78,,59.37,58.5 [57.8-59.4],,,EN,2024-08-02T04:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,SSD,South Sudan,Year,2021,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,58.57,,,57.18,,59.78,58.6 [57.2-59.8],,,EN,2024-08-02T04:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,GNB,Guinea-Bissau,Year,2021,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,58.63,,,57.72,,59.79,58.6 [57.7-59.8],,,EN,2024-08-02T04:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,ZMB,Zambia,Year,2021,true,Sex,Male,SEX_MLE,,,,,,,,,,58.72,,,57.71,,59.85,58.7 [57.7-59.8],,,EN,2024-08-02T04:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,ZAF,South Africa,Year,2021,true,Sex,Male,SEX_MLE,,,,,,,,,,58.9,,,58.53,,59.41,58.9 [58.5-59.4],,,EN,2024-08-02T04:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,NER,Niger,Year,2021,true,Sex,Male,SEX_MLE,,,,,,,,,,59.03,,,57.77,,60.63,59.0 [57.8-60.6],,,EN,2024-08-02T04:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,TCD,Chad,Year,2021,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,59.09,,,57.89,,60.39,59.1 [57.9-60.4],,,EN,2024-08-02T04:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,EMR,Eastern Mediterranean,Country,AFG,Afghanistan,Year,2021,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,59.13,,,58.35,,59.85,59.1 [58.3-59.9],,,EN,2024-08-02T04:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,BWA,Botswana,Year,2021,true,Sex,Male,SEX_MLE,,,,,,,,,,59.22,,,58.02,,60.1,59.2 [58.0-60.1],,,EN,2024-08-02T04:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,COD,Democratic Republic of the Congo,Year,2021,true,Sex,Male,SEX_MLE,,,,,,,,,,59.43,,,58.42,,60.56,59.4 [58.4-60.6],,,EN,2024-08-02T04:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,MWI,Malawi,Year,2021,true,Sex,Male,SEX_MLE,,,,,,,,,,59.72,,,59.04,,60.42,59.7 [59.0-60.4],,,EN,2024-08-02T04:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,CMR,Cameroon,Year,2021,true,Sex,Male,SEX_MLE,,,,,,,,,,59.89,,,58.92,,60.83,59.9 [58.9-60.8],,,EN,2024-08-02T04:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,BFA,Burkina Faso,Year,2021,true,Sex,Male,SEX_MLE,,,,,,,,,,59.88,,,58.89,,60.89,59.9 [58.9-60.9],,,EN,2024-08-02T04:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,GIN,Guinea,Year,2021,true,Sex,Male,SEX_MLE,,,,,,,,,,59.95,,,58.92,,61.21,59.9 [58.9-61.2],,,EN,2024-08-02T04:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,NER,Niger,Year,2021,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,59.97,,,58.67,,61.11,60.0 [58.7-61.1],,,EN,2024-08-02T04:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,AGO,Angola,Year,2021,true,Sex,Male,SEX_MLE,,,,,,,,,,60.01,,,59.12,,60.88,60.0 [59.1-60.9],,,EN,2024-08-02T04:00:00.000Z
